Words,Features,# of words in google,# of unique words in all documents,Condition prob of given word in google
thunderbolt,0,4240,2844,0.000141163
try,0,4240,2844,0.000141163
throat,0,4240,2844,0.000141163
slower,0,4240,2844,0.000141163
nexu,166,4240,2844,0.023574252
force,0,4240,2844,0.000141163
stuff,1,4240,2844,0.000282326
upset,0,4240,2844,0.000141163
inconvenienc,0,4240,2844,0.000141163
finance,0,4240,2844,0.000141163
greedy,0,4240,2844,0.000141163
bastard,1,4240,2844,0.000282326
santa,0,4240,2844,0.000141163
jolly,0,4240,2844,0.000141163
white,1,4240,2844,0.000282326
spend,0,4240,2844,0.000141163
recover,0,4240,2844,0.000141163
immobile,0,4240,2844,0.000141163
ponder,0,4240,2844,0.000141163
difficulti,0,4240,2844,0.000141163
serv,0,4240,2844,0.000141163
sydney,0,4240,2844,0.000141163
train,1,4240,2844,0.000282326
extend,0,4240,2844,0.000141163
clock,0,4240,2844,0.000141163
tire,0,4240,2844,0.000141163
figur,0,4240,2844,0.000141163
test,1,4240,2844,0.000282326
frozen,0,4240,2844,0.000141163
perpetual,0,4240,2844,0.000141163
run,1,4240,2844,0.000282326
dodgy,0,4240,2844,0.000141163
hire,1,4240,2844,0.000282326
staff,0,4240,2844,0.000141163
took,1,4240,2844,0.000282326
told,1,4240,2844,0.000282326
needless,0,4240,2844,0.000141163
hotel,0,4240,2844,0.000141163
relax,0,4240,2844,0.000141163
overall,0,4240,2844,0.000141163
however,2,4240,2844,0.00042349
home,1,4240,2844,0.000282326
online,5,4240,2844,0.000846979
surely,0,4240,2844,0.000141163
cause,1,4240,2844,0.000282326
dilation,0,4240,2844,0.000141163
suburb,0,4240,2844,0.000141163
pin,0,4240,2844,0.000141163
state,0,4240,2844,0.000141163
clarence,0,4240,2844,0.000141163
thoma,0,4240,2844,0.000141163
toss,0,4240,2844,0.000141163
decade,0,4240,2844,0.000141163
workflow,0,4240,2844,0.000141163
standard,1,4240,2844,0.000282326
receipt,0,4240,2844,0.000141163
print,0,4240,2844,0.000141163
playlist,0,4240,2844,0.000141163
bummer,0,4240,2844,0.000141163
Yahoo,4,4240,2844,0.000705816
fantasy,0,4240,2844,0.000141163
football,0,4240,2844,0.000141163
crash,2,4240,2844,0.00042349
nansen,0,4240,2844,0.000141163
clean,1,4240,2844,0.000282326
duplicate,0,4240,2844,0.000141163
magically,0,4240,2844,0.000141163
reappear,0,4240,2844,0.000141163
key,0,4240,2844,0.000141163
often,1,4240,2844,0.000282326
mine,0,4240,2844,0.000141163
gone,2,4240,2844,0.00042349
sister,0,4240,2844,0.000141163
family,0,4240,2844,0.000141163
sloppy,0,4240,2844,0.000141163
known,0,4240,2844,0.000141163
protection,0,4240,2844,0.000141163
laptop,0,4240,2844,0.000141163
cancer,0,4240,2844,0.000141163
maybe,4,4240,2844,0.000705816
wireless,1,4240,2844,0.000282326
worri,0,4240,2844,0.000141163
say,1,4240,2844,0.000282326
toledo,0,4240,2844,0.000141163
equipment,0,4240,2844,0.000141163
broke,0,4240,2844,0.000141163
guess,1,4240,2844,0.000282326
tri,1,4240,2844,0.000282326
anymore,0,4240,2844,0.000141163
durable,0,4240,2844,0.000141163
able,0,4240,2844,0.000141163
newsstand,0,4240,2844,0.000141163
serve,0,4240,2844,0.000141163
purpose,0,4240,2844,0.000141163
easier,0,4240,2844,0.000141163
fruit,0,4240,2844,0.000141163
compar,0,4240,2844,0.000141163
google,655,4240,2844,0.092603049
crowd,0,4240,2844,0.000141163
agree,2,4240,2844,0.00042349
meant,0,4240,2844,0.000141163
buy,1,4240,2844,0.000282326
internet,2,4240,2844,0.00042349
confus,1,4240,2844,0.000282326
consider,3,4240,2844,0.000564653
plu,1,4240,2844,0.000282326
stable,0,4240,2844,0.000141163
reach,0,4240,2844,0.000141163
use,0,4240,2844,0.000141163
completely,1,4240,2844,0.000282326
warm,0,4240,2844,0.000141163
sometime,0,4240,2844,0.000141163
wall,0,4240,2844,0.000141163
remind,0,4240,2844,0.000141163
rest,0,4240,2844,0.000141163
brick,0,4240,2844,0.000141163
install,0,4240,2844,0.000141163
former,0,4240,2844,0.000141163
owner,0,4240,2844,0.000141163
baby,1,4240,2844,0.000282326
delet,0,4240,2844,0.000141163
tiger,0,4240,2844,0.000141163
wood,0,4240,2844,0.000141163
impossible,0,4240,2844,0.000141163
retrieve,0,4240,2844,0.000141163
overbear,0,4240,2844,0.000141163
polici,0,4240,2844,0.000141163
disaster,0,4240,2844,0.000141163
su,0,4240,2844,0.000141163
insurance,0,4240,2844,0.000141163
manag,0,4240,2844,0.000141163
beautiful,3,4240,2844,0.000564653
one,0,4240,2844,0.000141163
arrogant,0,4240,2844,0.000141163
inept,0,4240,2844,0.000141163
combo,0,4240,2844,0.000141163
fade,0,4240,2844,0.000141163
black,0,4240,2844,0.000141163
begin,5,4240,2844,0.000846979
vibrate,0,4240,2844,0.000141163
continuously,0,4240,2844,0.000141163
reboot,0,4240,2844,0.000141163
lame,0,4240,2844,0.000141163
roll,2,4240,2844,0.00042349
equal,0,4240,2844,0.000141163
credit,0,4240,2844,0.000141163
redeem,0,4240,2844,0.000141163
fair,0,4240,2844,0.000141163
less,1,4240,2844,0.000282326
improve,0,4240,2844,0.000141163
monday,0,4240,2844,0.000141163
access,0,4240,2844,0.000141163
premise,0,4240,2844,0.000141163
outlook,0,4240,2844,0.000141163
thunderbird,0,4240,2844,0.000141163
chrome,5,4240,2844,0.000846979
visual,0,4240,2844,0.000141163
merchandis,0,4240,2844,0.000141163
elegance,0,4240,2844,0.000141163
sequence,0,4240,2844,0.000141163
terminal,0,4240,2844,0.000141163
person,2,4240,2844,0.00042349
nonstop,0,4240,2844,0.000141163
mute,0,4240,2844,0.000141163
randomly,0,4240,2844,0.000141163
activate,0,4240,2844,0.000141163
cant,1,4240,2844,0.000282326
occur,0,4240,2844,0.000141163
folk,1,4240,2844,0.000282326
cut,0,4240,2844,0.000141163
manage,3,4240,2844,0.000564653
subscription,0,4240,2844,0.000141163
solution,0,4240,2844,0.000141163
promis,2,4240,2844,0.00042349
similar,0,4240,2844,0.000141163
bell,0,4240,2844,0.000141163
monopolistic,0,4240,2844,0.000141163
forget,1,4240,2844,0.000282326
bloody,0,4240,2844,0.000141163
stump,0,4240,2844,0.000141163
catastrophically,0,4240,2844,0.000141163
canada,0,4240,2844,0.000141163
direction,0,4240,2844,0.000141163
exclusive,0,4240,2844,0.000141163
john,0,4240,2844,0.000141163
jean,0,4240,2844,0.000141163
french,0,4240,2844,0.000141163
report,4,4240,2844,0.000705816
theft,0,4240,2844,0.000141163
bode,0,4240,2844,0.000141163
night,0,4240,2844,0.000141163
charger,0,4240,2844,0.000141163
houston,1,4240,2844,0.000282326
together,2,4240,2844,0.00042349
ford,0,4240,2844,0.000141163
focu,1,4240,2844,0.000282326
movi,0,4240,2844,0.000141163
jihad,0,4240,2844,0.000141163
adobe,1,4240,2844,0.000282326
record,1,4240,2844,0.000282326
quarter,0,4240,2844,0.000141163
bunch,0,4240,2844,0.000141163
professional,0,4240,2844,0.000141163
guesser,0,4240,2844,0.000141163
analyst,0,4240,2844,0.000141163
releas,7,4240,2844,0.001129305
possible,0,4240,2844,0.000141163
latter,0,4240,2844,0.000141163
spec,3,4240,2844,0.000564653
price,2,4240,2844,0.00042349
takeaway,0,4240,2844,0.000141163
earn,0,4240,2844,0.000141163
stay,0,4240,2844,0.000141163
competitive,0,4240,2844,0.000141163
headline,0,4240,2844,0.000141163
lower,0,4240,2844,0.000141163
pamper,0,4240,2844,0.000141163
memori,0,4240,2844,0.000141163
expand,1,4240,2844,0.000282326
countri,1,4240,2844,0.000282326
december,0,4240,2844,0.000141163
coincidence,0,4240,2844,0.000141163
virtual,3,4240,2844,0.000564653
assistant,0,4240,2844,0.000141163
robot,0,4240,2844,0.000141163
result,2,4240,2844,0.00042349
depend,0,4240,2844,0.000141163
increas,0,4240,2844,0.000141163
revenue,4,4240,2844,0.000705816
recession,0,4240,2844,0.000141163
rather,0,4240,2844,0.000141163
friend,2,4240,2844,0.00042349
choose,2,4240,2844,0.00042349
profile,3,4240,2844,0.000564653
amazon,3,4240,2844,0.000564653
log,4,4240,2844,0.000705816
troublemaker,0,4240,2844,0.000141163
struggl,0,4240,2844,0.000141163
blow,1,4240,2844,0.000282326
mind,2,4240,2844,0.00042349
gizmo,0,4240,2844,0.000141163
shut,0,4240,2844,0.000141163
wednesday,0,4240,2844,0.000141163
memorial,0,4240,2844,0.000141163
cranial,0,4240,2844,0.000141163
insertion,0,4240,2844,0.000141163
implant,0,4240,2844,0.000141163
official,13,4240,2844,0.001976285
seven,1,4240,2844,0.000282326
rule,0,4240,2844,0.000141163
weekly,0,4240,2844,0.000141163
twit,1,4240,2844,0.000282326
Young,0,4240,2844,0.000141163
foolish,0,4240,2844,0.000141163
ownership,0,4240,2844,0.000141163
resilience,0,4240,2844,0.000141163
smell,1,4240,2844,0.000282326
lawsuit,0,4240,2844,0.000141163
morn,2,4240,2844,0.00042349
remote,0,4240,2844,0.000141163
keynote,1,4240,2844,0.000282326
presentation,13,4240,2844,0.001976285
nobody,0,4240,2844,0.000141163
pith,0,4240,2844,0.000141163
navigate,0,4240,2844,0.000141163
voicemail,0,4240,2844,0.000141163
sincerely,0,4240,2844,0.000141163
household,0,4240,2844,0.000141163
mini,0,4240,2844,0.000141163
airport,0,4240,2844,0.000141163
usable,0,4240,2844,0.000141163
shari,0,4240,2844,0.000141163
explor,0,4240,2844,0.000141163
speak,0,4240,2844,0.000141163
symbol,0,4240,2844,0.000141163
relate,1,4240,2844,0.000282326
nostalgia,0,4240,2844,0.000141163
contract,0,4240,2844,0.000141163
factory,0,4240,2844,0.000141163
holder,0,4240,2844,0.000141163
spot,2,4240,2844,0.00042349
setup,0,4240,2844,0.000141163
nike,0,4240,2844,0.000141163
dedicate,0,4240,2844,0.000141163
memory,0,4240,2844,0.000141163
brilliant,2,4240,2844,0.00042349
evolution,0,4240,2844,0.000141163
inanimate,0,4240,2844,0.000141163
object,0,4240,2844,0.000141163
notic,1,4240,2844,0.000282326
tweet,2,4240,2844,0.00042349
closet,0,4240,2844,0.000141163
generation,0,4240,2844,0.000141163
contend,0,4240,2844,0.000141163
utility,0,4240,2844,0.000141163
balk,0,4240,2844,0.000141163
acquisition,0,4240,2844,0.000141163
billion,1,4240,2844,0.000282326
battl,0,4240,2844,0.000141163
consumer,0,4240,2844,0.000141163
thought,6,4240,2844,0.000988142
unique,0,4240,2844,0.000141163
wonder,3,4240,2844,0.000564653
tablet,4,4240,2844,0.000705816
battle,1,4240,2844,0.000282326
community,0,4240,2844,0.000141163
unconventional,0,4240,2844,0.000141163
leadership,0,4240,2844,0.000141163
secret,0,4240,2844,0.000141163
entire,0,4240,2844,0.000141163
giant,0,4240,2844,0.000141163
attend,0,4240,2844,0.000141163
donate,0,4240,2844,0.000141163
pancreatic,0,4240,2844,0.000141163
research,0,4240,2844,0.000141163
plank,0,4240,2844,0.000141163
daily,0,4240,2844,0.000141163
tripl,0,4240,2844,0.000141163
came,1,4240,2844,0.000282326
duplication,0,4240,2844,0.000141163
import,0,4240,2844,0.000141163
categorize,0,4240,2844,0.000141163
broken,0,4240,2844,0.000141163
place,1,4240,2844,0.000282326
section,0,4240,2844,0.000141163
let,0,4240,2844,0.000141163
fine,0,4240,2844,0.000141163
straight,1,4240,2844,0.000282326
poop,0,4240,2844,0.000141163
sarcasm,0,4240,2844,0.000141163
built-in,0,4240,2844,0.000141163
helpful,0,4240,2844,0.000141163
spell,2,4240,2844,0.00042349
document,0,4240,2844,0.000141163
finger,0,4240,2844,0.000141163
cross,0,4240,2844,0.000141163
left,0,4240,2844,0.000141163
nugget,0,4240,2844,0.000141163
behind,1,4240,2844,0.000282326
october,0,4240,2844,0.000141163
weird,0,4240,2844,0.000141163
verge,0,4240,2844,0.000141163
karaoke,0,4240,2844,0.000141163
american,1,4240,2844,0.000282326
define,0,4240,2844,0.000141163
disagree,0,4240,2844,0.000141163
hungry,2,4240,2844,0.00042349
founder,0,4240,2844,0.000141163
found,3,4240,2844,0.000564653
sink,0,4240,2844,0.000141163
alto,0,4240,2844,0.000141163
downtown,0,4240,2844,0.000141163
dude,0,4240,2844,0.000141163
fattest,0,4240,2844,0.000141163
hook,0,4240,2844,0.000141163
memo,0,4240,2844,0.000141163
scrub,0,4240,2844,0.000141163
journalist,0,4240,2844,0.000141163
babi,0,4240,2844,0.000141163
poll,0,4240,2844,0.000141163
ban,0,4240,2844,0.000141163
buzz,3,4240,2844,0.000564653
trip,0,4240,2844,0.000141163
colleague,0,4240,2844,0.000141163
overboard,0,4240,2844,0.000141163
misread,0,4240,2844,0.000141163
Yelp,0,4240,2844,0.000141163
review,1,4240,2844,0.000282326
thai,0,4240,2844,0.000141163
financial,1,4240,2844,0.000282326
purely,0,4240,2844,0.000141163
shift,2,4240,2844,0.00042349
sling,0,4240,2844,0.000141163
spontaneou,0,4240,2844,0.000141163
danc,0,4240,2844,0.000141163
outfit,0,4240,2844,0.000141163
girl,0,4240,2844,0.000141163
part,2,4240,2844,0.00042349
imagine,0,4240,2844,0.000141163
map,2,4240,2844,0.00042349
graphic,2,4240,2844,0.00042349
website,4,4240,2844,0.000705816
court,0,4240,2844,0.000141163
style,2,4240,2844,0.00042349
dumb,0,4240,2844,0.000141163
mortar,0,4240,2844,0.000141163
london,0,4240,2844,0.000141163
fit,0,4240,2844,0.000141163
mirror,0,4240,2844,0.000141163
school,1,4240,2844,0.000282326
couple,1,4240,2844,0.000282326
kid,0,4240,2844,0.000141163
hardware,1,4240,2844,0.000282326
promise,1,4240,2844,0.000282326
freak,0,4240,2844,0.000141163
past,0,4240,2844,0.000141163
away,4,4240,2844,0.000705816
follow,1,4240,2844,0.000282326
growth,0,4240,2844,0.000141163
area,0,4240,2844,0.000141163
msg,0,4240,2844,0.000141163
tomorrow,1,4240,2844,0.000282326
reserve,0,4240,2844,0.000141163
imminent,0,4240,2844,0.000141163
sold,2,4240,2844,0.00042349
overwhelm,0,4240,2844,0.000141163
reaction,0,4240,2844,0.000141163
death,0,4240,2844,0.000141163
telegraph,2,4240,2844,0.00042349
insert,0,4240,2844,0.000141163
all-time,0,4240,2844,0.000141163
high,2,4240,2844,0.00042349
hang,0,4240,2844,0.000141163
tacoma,0,4240,2844,0.000141163
beatle,0,4240,2844,0.000141163
front,0,4240,2844,0.000141163
shirt,0,4240,2844,0.000141163
reunion,0,4240,2844,0.000141163
tighten,0,4240,2844,0.000141163
pro,0,4240,2844,0.000141163
jacob,0,4240,2844,0.000141163
notify,0,4240,2844,0.000141163
clown,0,4240,2844,0.000141163
spin,1,4240,2844,0.000282326
wheel,0,4240,2844,0.000141163
reinvent,0,4240,2844,0.000141163
lookup,0,4240,2844,0.000141163
easiest,0,4240,2844,0.000141163
brady,0,4240,2844,0.000141163
surpris,1,4240,2844,0.000282326
mark,1,4240,2844,0.000282326
comparison,0,4240,2844,0.000141163
segregate,0,4240,2844,0.000141163
internode,0,4240,2844,0.000141163
piracy,0,4240,2844,0.000141163
mainly,0,4240,2844,0.000141163
platform,5,4240,2844,0.000846979
obscure,0,4240,2844,0.000141163
infamou,0,4240,2844,0.000141163
hall,0,4240,2844,0.000141163
pass,2,4240,2844,0.00042349
nookie,0,4240,2844,0.000141163
joel,0,4240,2844,0.000141163
circumstance,0,4240,2844,0.000141163
suffer,0,4240,2844,0.000141163
period,1,4240,2844,0.000282326
goodwill,0,4240,2844,0.000141163
paul,0,4240,2844,0.000141163
chat,0,4240,2844,0.000141163
advisor,0,4240,2844,0.000141163
tribute,2,4240,2844,0.00042349
faulty,0,4240,2844,0.000141163
gain,0,4240,2844,0.000141163
advertis,1,4240,2844,0.000282326
balloon,0,4240,2844,0.000141163
respect,0,4240,2844,0.000141163
alternative,0,4240,2844,0.000141163
india,2,4240,2844,0.00042349
squad,0,4240,2844,0.000141163
peep,0,4240,2844,0.000141163
algorithm,0,4240,2844,0.000141163
shrewd,0,4240,2844,0.000141163
root,1,4240,2844,0.000282326
horse,0,4240,2844,0.000141163
flower,0,4240,2844,0.000141163
shower,0,4240,2844,0.000141163
beg,0,4240,2844,0.000141163
valuable,0,4240,2844,0.000141163
analysi,0,4240,2844,0.000141163
trend,0,4240,2844,0.000141163
profit,0,4240,2844,0.000141163
proud,0,4240,2844,0.000141163
predict,0,4240,2844,0.000141163
stage,1,4240,2844,0.000282326
september,1,4240,2844,0.000282326
head,2,4240,2844,0.00042349
detail,8,4240,2844,0.001270469
auto,0,4240,2844,0.000141163
renewal,0,4240,2844,0.000141163
settle,0,4240,2844,0.000141163
content,3,4240,2844,0.000564653
coffer,0,4240,2844,0.000141163
hit,1,4240,2844,0.000282326
smart,4,4240,2844,0.000705816
engage,0,4240,2844,0.000141163
partner,1,4240,2844,0.000282326
social,7,4240,2844,0.001129305
activity,1,4240,2844,0.000282326
messag,0,4240,2844,0.000141163
kinda,0,4240,2844,0.000141163
relevant,0,4240,2844,0.000141163
junkie,0,4240,2844,0.000141163
buri,0,4240,2844,0.000141163
ability,0,4240,2844,0.000141163
inconvenient,0,4240,2844,0.000141163
cofounder,0,4240,2844,0.000141163
stood,0,4240,2844,0.000141163
provide,0,4240,2844,0.000141163
chase,0,4240,2844,0.000141163
cream,152,4240,2844,0.021597967
sandwich,155,4240,2844,0.022021457
Yesss,0,4240,2844,0.000141163
situation,0,4240,2844,0.000141163
gulp,0,4240,2844,0.000141163
pack,0,4240,2844,0.000141163
session,0,4240,2844,0.000141163
indicator,0,4240,2844,0.000141163
management,2,4240,2844,0.00042349
entrepreneur,0,4240,2844,0.000141163
startup,3,4240,2844,0.000564653
bangla,0,4240,2844,0.000141163
bengali,0,4240,2844,0.000141163
galaxy,117,4240,2844,0.016657256
globally,0,4240,2844,0.000141163
traffic,5,4240,2844,0.000846979
gift,0,4240,2844,0.000141163
opinion,0,4240,2844,0.000141163
careful,0,4240,2844,0.000141163
chip,0,4240,2844,0.000141163
guarantee,0,4240,2844,0.000141163
failure,0,4240,2844,0.000141163
principal,0,4240,2844,0.000141163
global,1,4240,2844,0.000282326
player,0,4240,2844,0.000141163
active,0,4240,2844,0.000141163
kobo,0,4240,2844,0.000141163
underplay,0,4240,2844,0.000141163
invisible,0,4240,2844,0.000141163
hospital,0,4240,2844,0.000141163
single,0,4240,2844,0.000141163
mourn,0,4240,2844,0.000141163
dock,0,4240,2844,0.000141163
scroll,2,4240,2844,0.00042349
title,0,4240,2844,0.000141163
font,3,4240,2844,0.000564653
across,1,4240,2844,0.000282326
main,0,4240,2844,0.000141163
wayne,0,4240,2844,0.000141163
leav,0,4240,2844,0.000141163
correct,2,4240,2844,0.00042349
child,0,4240,2844,0.000141163
poorly,0,4240,2844,0.000141163
painless,0,4240,2844,0.000141163
choice,0,4240,2844,0.000141163
form,1,4240,2844,0.000282326
component,0,4240,2844,0.000141163
continue,1,4240,2844,0.000282326
bite,0,4240,2844,0.000141163
upcom,0,4240,2844,0.000141163
afro-american,0,4240,2844,0.000141163
emoticon,0,4240,2844,0.000141163
angry,0,4240,2844,0.000141163
omission,0,4240,2844,0.000141163
advanc,1,4240,2844,0.000282326
printer,1,4240,2844,0.000282326
mighty,0,4240,2844,0.000141163
alcohol,0,4240,2844,0.000141163
act,1,4240,2844,0.000282326
timeline,0,4240,2844,0.000141163
history,0,4240,2844,0.000141163
challeng,0,4240,2844,0.000141163
possibly,0,4240,2844,0.000141163
accessori,0,4240,2844,0.000141163
policy,1,4240,2844,0.000282326
intellectual,0,4240,2844,0.000141163
property,0,4240,2844,0.000141163
infringement,0,4240,2844,0.000141163
claim,0,4240,2844,0.000141163
unauthorize,0,4240,2844,0.000141163
likely,0,4240,2844,0.000141163
suit,1,4240,2844,0.000282326
accus,0,4240,2844,0.000141163
roar,0,4240,2844,0.000141163
unveil,18,4240,2844,0.002682101
placement,0,4240,2844,0.000141163
effort,0,4240,2844,0.000141163
Yield,0,4240,2844,0.000141163
stock,2,4240,2844,0.00042349
promot,0,4240,2844,0.000141163
magazine,1,4240,2844,0.000282326
add,2,4240,2844,0.00042349
escort,0,4240,2844,0.000141163
legal,0,4240,2844,0.000141163
discovery,0,4240,2844,0.000141163
public,0,4240,2844,0.000141163
leopard,0,4240,2844,0.000141163
functionality,2,4240,2844,0.00042349
identity,0,4240,2844,0.000141163
logo,0,4240,2844,0.000141163
revis,0,4240,2844,0.000141163
doubt,2,4240,2844,0.00042349
enough,2,4240,2844,0.00042349
cope,0,4240,2844,0.000141163
defraud,0,4240,2844,0.000141163
win,3,4240,2844,0.000564653
salute,0,4240,2844,0.000141163
dog,0,4240,2844,0.000141163
earlier,1,4240,2844,0.000282326
upstair,0,4240,2844,0.000141163
soho,0,4240,2844,0.000141163
sudden,0,4240,2844,0.000141163
sprung,0,4240,2844,0.000141163
attention,0,4240,2844,0.000141163
digital,10,4240,2844,0.001552795
california,0,4240,2844,0.000141163
joseph,0,4240,2844,0.000141163
patiently,1,4240,2844,0.000282326
end,0,4240,2844,0.000141163
reply,0,4240,2844,0.000141163
insist,0,4240,2844,0.000141163
favorite,2,4240,2844,0.00042349
color,0,4240,2844,0.000141163
average,0,4240,2844,0.000141163
speed,3,4240,2844,0.000564653
swallow,0,4240,2844,0.000141163
python,0,4240,2844,0.000141163
denounce,0,4240,2844,0.000141163
nuance,0,4240,2844,0.000141163
cheap,1,4240,2844,0.000282326
improvement,6,4240,2844,0.000988142
implementation,0,4240,2844,0.000141163
monitor,0,4240,2844,0.000141163
either,1,4240,2844,0.000282326
heard,0,4240,2844,0.000141163
partnership,0,4240,2844,0.000141163
governor,0,4240,2844,0.000141163
declare,0,4240,2844,0.000141163
hoe,0,4240,2844,0.000141163
nearest,1,4240,2844,0.000282326
beef,0,4240,2844,0.000141163
subscribe,0,4240,2844,0.000141163
default,9,4240,2844,0.001411632
limit,0,4240,2844,0.000141163
older,0,4240,2844,0.000141163
ethernet,0,4240,2844,0.000141163
drew,0,4240,2844,0.000141163
respond,1,4240,2844,0.000282326
everywhere,0,4240,2844,0.000141163
factori,0,4240,2844,0.000141163
concrete,0,4240,2844,0.000141163
evidence,0,4240,2844,0.000141163
blogger,0,4240,2844,0.000141163
differ,0,4240,2844,0.000141163
reli,0,4240,2844,0.000141163
wank,0,4240,2844,0.000141163
student,0,4240,2844,0.000141163
discount,0,4240,2844,0.000141163
rep,0,4240,2844,0.000141163
accent,0,4240,2844,0.000141163
speech,0,4240,2844,0.000141163
translator,0,4240,2844,0.000141163
overhaul,0,4240,2844,0.000141163
response,2,4240,2844,0.00042349
bake,0,4240,2844,0.000141163
documentary,0,4240,2844,0.000141163
brought,0,4240,2844,0.000141163
constrain,0,4240,2844,0.000141163
appear,0,4240,2844,0.000141163
inventory,0,4240,2844,0.000141163
center,0,4240,2844,0.000141163
trick,0,4240,2844,0.000141163
fully,0,4240,2844,0.000141163
controll,0,4240,2844,0.000141163
antitrust,0,4240,2844,0.000141163
homepage,0,4240,2844,0.000141163
renam,0,4240,2844,0.000141163
legacy,0,4240,2844,0.000141163
strange,3,4240,2844,0.000564653
group,1,4240,2844,0.000282326
paperboy,0,4240,2844,0.000141163
fixe,0,4240,2844,0.000141163
client,0,4240,2844,0.000141163
throne,0,4240,2844,0.000141163
silicon,0,4240,2844,0.000141163
valley,0,4240,2844,0.000141163
visit,0,4240,2844,0.000141163
final,0,4240,2844,0.000141163
portion,0,4240,2844,0.000141163
procee,0,4240,2844,0.000141163
native,1,4240,2844,0.000282326
editor,0,4240,2844,0.000141163
volume,1,4240,2844,0.000282326
switcher,0,4240,2844,0.000141163
slider,0,4240,2844,0.000141163
proof,1,4240,2844,0.000282326
woke,0,4240,2844,0.000141163
door,0,4240,2844,0.000141163
arrival,0,4240,2844,0.000141163
tuesday,0,4240,2844,0.000141163
option,0,4240,2844,0.000141163
stronger,0,4240,2844,0.000141163
deaf,0,4240,2844,0.000141163
ally,0,4240,2844,0.000141163
silver,0,4240,2844,0.000141163
importantly,0,4240,2844,0.000141163
handy,0,4240,2844,0.000141163
funny,0,4240,2844,0.000141163
configure,0,4240,2844,0.000141163
racism,0,4240,2844,0.000141163
christma,1,4240,2844,0.000282326
self,0,4240,2844,0.000141163
landscape,0,4240,2844,0.000141163
mode,2,4240,2844,0.00042349
dalla,0,4240,2844,0.000141163
strategy,1,4240,2844,0.000282326
beware,0,4240,2844,0.000141163
west,1,4240,2844,0.000282326
14th,0,4240,2844,0.000141163
fact,1,4240,2844,0.000282326
roger,0,4240,2844,0.000141163
spray,0,4240,2844,0.000141163
paint,0,4240,2844,0.000141163
macintosh,0,4240,2844,0.000141163
discontinu,0,4240,2844,0.000141163
bid,0,4240,2844,0.000141163
designer,0,4240,2844,0.000141163
buddy,0,4240,2844,0.000141163
pic,0,4240,2844,0.000141163
toggle,0,4240,2844,0.000141163
earth,1,4240,2844,0.000282326
security,3,4240,2844,0.000564653
salesperson,0,4240,2844,0.000141163
matter,0,4240,2844,0.000141163
sticky,1,4240,2844,0.000282326
pill,0,4240,2844,0.000141163
advance,0,4240,2844,0.000141163
weather,0,4240,2844,0.000141163
hopeful,1,4240,2844,0.000282326
interconnect,0,4240,2844,0.000141163
austin,0,4240,2844,0.000141163
umbrella,0,4240,2844,0.000141163
staf,0,4240,2844,0.000141163
bore,0,4240,2844,0.000141163
intrigu,0,4240,2844,0.000141163
suggestion,0,4240,2844,0.000141163
thu,0,4240,2844,0.000141163
spent,0,4240,2844,0.000141163
afford,0,4240,2844,0.000141163
mansion,0,4240,2844,0.000141163
madden,0,4240,2844,0.000141163
selection,0,4240,2844,0.000141163
stripe,0,4240,2844,0.000141163
dough,0,4240,2844,0.000141163
otherwise,0,4240,2844,0.000141163
heart,2,4240,2844,0.00042349
hectic,0,4240,2844,0.000141163
mom,0,4240,2844,0.000141163
bear,0,4240,2844,0.000141163
lincoln,0,4240,2844,0.000141163
sail,0,4240,2844,0.000141163
phoenix,0,4240,2844,0.000141163
rock,0,4240,2844,0.000141163
house,0,4240,2844,0.000141163
chill,0,4240,2844,0.000141163
bee,0,4240,2844,0.000141163
japanese,0,4240,2844,0.000141163
privacy,5,4240,2844,0.000846979
pear,0,4240,2844,0.000141163
tree,0,4240,2844,0.000141163
fall,0,4240,2844,0.000141163
type,0,4240,2844,0.000141163
perry,0,4240,2844,0.000141163
rick,0,4240,2844,0.000141163
riesl,0,4240,2844,0.000141163
lightbulb,0,4240,2844,0.000141163
ready,4,4240,2844,0.000705816
tampa,0,4240,2844,0.000141163
martin,0,4240,2844,0.000141163
town,0,4240,2844,0.000141163
buccaneer,0,4240,2844,0.000141163
teach,0,4240,2844,0.000141163
different,2,4240,2844,0.00042349
therefore,0,4240,2844,0.000141163
percent,0,4240,2844,0.000141163
clearance,0,4240,2844,0.000141163
scripture,0,4240,2844,0.000141163
patio,0,4240,2844,0.000141163
furniture,0,4240,2844,0.000141163
bag,0,4240,2844,0.000141163
angel,0,4240,2844,0.000141163
peeler,0,4240,2844,0.000141163
washer,0,4240,2844,0.000141163
board,1,4240,2844,0.000282326
cyst,0,4240,2844,0.000141163
knee,0,4240,2844,0.000141163
conveyor,0,4240,2844,0.000141163
hardy,0,4240,2844,0.000141163
mesh,0,4240,2844,0.000141163
jacket,0,4240,2844,0.000141163
motorcycle,0,4240,2844,0.000141163
vodka,0,4240,2844,0.000141163
fancy,1,4240,2844,0.000282326
hemp,0,4240,2844,0.000141163
jewelry,0,4240,2844,0.000141163
instruction,0,4240,2844,0.000141163
fuel,0,4240,2844,0.000141163
knot,0,4240,2844,0.000141163
money,1,4240,2844,0.000282326
chosen,1,4240,2844,0.000282326
trivia,2,4240,2844,0.00042349
build,4,4240,2844,0.000705816
leap,1,4240,2844,0.000282326
boost,1,4240,2844,0.000282326
manager,1,4240,2844,0.000282326
